NetflixID,Title,GenreID,Runtime,IMDBScore,Language,Premiere_Date
263,1922,G9,102,6.3,English,20-10-2017
264,"A Tale of Two Kitchens",G1,30,6.3,English,22-05-2019
265,"Alex Strangelove",G17,99,6.3,English,08-06-2018
266,Apostle,G9,129,6.3,English,12-10-2018
267,Benji,G7,87,6.3,English,16-03-2018
268,Bright,G7,117,6.3,English,22-12-2017
269,Cargo,G7,104,6.3,English,18-05-2018
270,"Concrete Cowboy",G7,111,6.3,English,02-04-2021
271,"Feel the Beat",G6,107,6.3,English,19-06-2020
272,"Get the Goat",G6,97,6.3,Portuguese,18-03-2021
273,"I Am Not an Easy Man",G17,98,6.3,French,13-04-2018
274,"June & Kopi",G7,90,6.3,Indonesian,28-01-2021
275,"Music Teacher",G7,101,6.3,Hindi,19-04-2019
276,"Nail Bomber: Manhunt",G1,72,6.3,English,26-05-2021
277,"Notes for My Son",G7,83,6.3,Spanish,24-11-2020
278,Polar,G5,118,6.3,English,25-01-2019
279,"Porta dos Fundos: The Last Hangover",G6,44,6.3,Portuguese,21-12-2018
280,"Sand Castle",G5,113,6.3,English,21-04-2017
281,"Shimmer Lake",G2,86,6.3,English,09-06-2017
282,Spectral,G3,108,6.3,English,09-12-2016
283,"The Babysitter",G6,85,6.3,English,13-10-2017
284,"The Discovery",G3,102,6.3,English,31-03-2017
285,"The Forest of Love",G7,151,6.3,Japanese,11-10-2019
286,"The Laundromat",G6,98,6.3,English,18-10-2019
287,"The Legend of Cocaine Island",G1,87,6.3,English,29-03-2019
288,"The Outsider",G2,120,6.3,English,09-03-2018
289,"Time to Hunt",G2,134,6.3,Korean,23-04-2020
290,"To All the Boys: Always and Forever",G17,109,6.3,English,12-02-2021
291,"Travis Scott: Look Mom I Can Fly",G1,85,6.3,English,28-08-2019
292,Uncorked,G7,103,6.3,English,27-03-2020
293,"Anelka: Misunderstood",G1,94,6.4,French,05-08-2020
294,"Ariana Grande: Excuse Me, I Love You",G16,97,6.4,English,21-12-2020
295,ARQ,G3,88,6.4,English,16-09-2016
296,Birders,G1,37,6.4,English,25-09-2019
297,"Como CaÃ­do del Cielo",G8,112,6.4,Spanish,24-12-2019
298,"First Match",G7,102,6.4,English,30-03-2018
299,Fractured,G2,100,6.4,English,11-10-2019
300,"Irreplaceable You",G7,96,6.4,English,16-02-2018
301,"Isi & Ossi",G17,113,6.4,German,14-02-2020
