genre,title,imdbscore,rnk
Action,Okja,7.3,1
Action,"The Siege of Jadotville",7.2,2
Action,Extraction,6.7,3
Action,"The Old Guard",6.7,3
Action,"Mowgli: Legend of the Jungle",6.5,5
Action,Polar,6.3,6
Action,"Sand Castle",6.3,6
Action,"Spenser Confidential",6.2,8
Action,"6 Underground",6.1,9
Action,Ultras,5.9,10
Action,"True Memoirs of an International Assassin",5.9,10
Action,"Point Blank",5.7,12
Action,"The Do-Over",5.7,12
Action,"Game Over, Man!",5.4,14
Action,"How It Ends",5.0,15
Action,"Earth and Blood",4.9,16
Action,"We Can Be Heroes",4.7,17
Action,Sentinelle,4.7,17
Action,"All Because of You",4.2,19
Action,Drive,3.5,20
Anime,Klaus,8.2,1
Anime,"If Anything Happens I Love You",7.8,2
Anime,"Road to Roma",7.7,3
Anime,"Invader Zim: Enter the Florpus",7.5,4
Anime,"Octonauts & the Great Barrier Reef",7.3,5
Anime,"Sitara: Let Girls Dream",7.3,5
Anime,"The Road to El Camino: A Breaking Bad Movie",7.2,7
Anime,"Angela's Christmas Wish",7.1,8
Anime,"Angela's Christmas",7.1,8
Anime,"Rocko's Modern Life: Static Cling",7.0,10
Anime,"Cops and Robbers",6.9,11
Anime,Blame!,6.7,12
Anime,"A Whisker Away",6.7,12
Anime,"Arlo the Alligator Boy",6.7,12
Anime,"Altered Carbon: Resleeved",6.5,15
Anime,Canvas,6.5,15
Anime,"Sturgill Simpson Presents: Sound & Fury",6.4,17
Anime,"The Willoughbys",6.4,17
Anime,"Over the Moon",6.4,17
Anime,"Octonauts & the Caves of Sac Actun",6.2,20
Anime,"The Claus Family",5.8,21
Anime,"The Larva Island Movie",5.1,22
Anime,Fearless,4.9,23
Anime,"Sol Levante",4.7,24
Biopic,"Dolemite Is My Name",7.3,1
Biopic,"The Dirt",7.0,2
Biopic,Mank,6.9,3
Biopic,"A Futile and Stupid Gesture",6.8,4
Biopic,"Baggio: The Divine Ponytail",6.2,5
Biopic,"Roxanne Roxanne",6.2,5
Biopic,Sergio,6.1,7
Biopic,"The Most Hated Woman in America",6.1,7
Biopic,"Come Sunday",6.0,9
Biopic,Barry,5.8,10
Comedy,Ludo,7.6,1
Comedy,"The Fundamentals of Caring",7.3,2
Comedy,Seventeen,7.2,3
Comedy,"The 40-Year-Old Version",7.2,3
Comedy,"Rose Island",7.0,5
Comedy,"The Christmas Chronicles",7.0,5
Comedy,"The Lonely Island Presents: The Unauthorized Bash Brothers Experience",6.9,7
Comedy,Pagglait,6.9,7
Comedy,"The Meyerowitz Stories (New and Selected)",6.9,7
Comedy,"Death to 2020",6.8,10
Comedy,"Brij Mohan Amar Rahe",6.8,10
Comedy,Tallulah,6.7,12
Comedy,"Just Another Christmas",6.7,12
Comedy,"Bad Trip",6.6,14
Comedy,Chopsticks,6.5,15
Comedy,"The Incredible Jessica James",6.5,15
Comedy,"The Heartbreak Club",6.4,17
Comedy,"Nappily Ever After",6.4,17
Comedy,"The Laundromat",6.3,19
Comedy,"The Babysitter",6.3,19
Comedy,"Porta dos Fundos: The Last Hangover",6.3,19
Comedy,"Get the Goat",6.3,19
Comedy,"Feel the Beat",6.3,19
Comedy,"Crazy Awesome Teachers",6.2,24
Comedy,"Win It All",6.2,24
Comedy,"Have You Ever Seen Fireflies?",6.2,24
Comedy,"Like Father",6.1,27
Comedy,"Work It",6.1,27
Comedy,"Between Two Ferns: The Movie",6.1,27
Comedy,Otherhood,6.1,27
Comedy,"War Machine",6.0,31
Comedy,"The Christmas Chronicles: Part Two",6.0,31
Comedy,"Murder Mystery",6.0,31
Comedy,"The Polka King",5.9,34
Comedy,"Small Crimes",5.8,35
Comedy,"Rajma Chawal",5.8,35
Comedy,"Candy Jar",5.8,35
Comedy,15-Aug,5.8,35
Comedy,"The Babysitter: Killer Queen",5.8,35
Comedy,"The After Party",5.8,35
Comedy,"Little Evil",5.7,41
Comedy,Lionheart,5.7,41
Comedy,"The Wrong Missy",5.7,41
Comedy,"El Camino Christmas",5.7,41
Comedy,"Yes Day",5.7,41
Comedy,"Double Dad",5.6,46
Comedy,"Brahman Naman",5.6,46
Comedy,"The Sleepover",5.6,46
Comedy,"The Last Laugh",5.6,46
Comedy,"Bomb Scared",5.6,46
Comedy,"Step Sisters",5.5,51
Comedy,"House Arrest",5.5,51
Comedy,"A Very Murray Christmas",5.5,51
Comedy,"Get the Grift",5.5,51
Comedy,"Wine Country",5.5,51
Comedy,"The Package",5.5,51
Comedy,"The Legacy of a Whitetail Deer Hunter",5.5,51
Comedy,"Unicorn Store",5.5,51
Comedy,Naked,5.4,59
Comedy,"A Babysitter's Guide to Monster Hunting",5.4,59
Comedy,"Despite Everything",5.4,59
Comedy,"Back to School",5.3,62
Comedy,"Girlfriend's Day",5.2,63
Comedy,"Sandy Wexler",5.2,63
Comedy,"Father of the Year",5.2,63
Comedy,Ibiza,5.2,63
Comedy,"Tall Girl",5.2,63
Comedy,"Handsome: A Netflix Mystery Movie",5.2,63
Comedy,"The Week Of",5.2,63
Comedy,"Hubie Halloween",5.2,63
Comedy,#REALITYHIGH,5.2,63
Comedy,Dude,5.1,72
Comedy,"Coffee & Kareem",5.1,72
Comedy,"Airplane Mode",5.0,74
Comedy,"The Main Event",4.8,75
Comedy,"Take the 10",4.8,75
Comedy,"The Players",4.6,77
Comedy,"5 Star Christmas",4.6,77
Comedy,"Porta dos Fundos: The First Temptation of Christ",4.6,77
Comedy,"Seriously Single",4.5,80
Comedy,"The Misadventures of Hedi and Cokeman",4.5,80
Comedy,Sextuplets,4.4,82
Comedy,"Thunder Force",4.4,82
Comedy,"What Happened to Mr. Cha?",4.3,84
Comedy,"Sardar Ka Grandson",4.1,85
Comedy,"Leyla Everlasting",3.7,86
"Concert Film","Taylor Swift: Reputation Stadium Tour",8.4,1
"Concert Film","Ben Platt: Live from Radio City Music Hall",8.4,1
"Concert Film","Justin Timberlake + The Tennessee Kids",7.7,3
"Concert Film","Barbra: The Music, The Mem'ries, The Magic!",7.5,4
"Concert Film","Shawn Mendes: Live in Concert",7.4,5
"Concert Film","Ariana Grande: Excuse Me, I Love You",6.4,6
Documentary,"David Attenborough: A Life on Our Planet",9.0,1
Documentary,"Emicida: AmarElo - It's All For Yesterday",8.6,2
Documentary,"Winter on Fire: Ukraine's Fight for Freedom",8.4,3
Documentary,"Dancing with the Birds",8.3,4
Documentary,"Cuba and the Cameraman",8.3,4
Documentary,"The Three Deaths of Marisela Escobedo",8.2,6
Documentary,Seaspiracy,8.2,6
Documentary,"Disclosure: Trans Lives on Screen",8.2,6
Documentary,13th,8.2,6
Documentary,"Rising Phoenix",8.1,10
Documentary,"My Octopus Teacher",8.1,10
Documentary,"Chasing Coral",8.1,10
Documentary,"Struggle: The Life and Lost Art of Szukaiski",8.0,13
Documentary,"The Ivory Game",7.9,14
Documentary,Icarus,7.9,14
Documentary,"A Secret Love",7.9,14
Documentary,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",7.7,17
Documentary,"Brene Brown: The Call to Courage",7.7,17
Documentary,"Crip Camp: A Disability Revolution",7.7,17
Documentary,"The Bleeding Edge",7.6,20
Documentary,"Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere",7.6,20
Documentary,Quincy,7.6,20
Documentary,"Athlete A",7.6,20
Documentary,"The Social Dilemma",7.6,20
Documentary,"What Happened, Miss Simone?",7.6,20
Documentary,"Tell Me Who I Am",7.6,20
Documentary,"The White Helmets",7.5,27
Documentary,"Reversing Roe",7.5,27
Documentary,"Joan Didion: The Center Will Not Hold",7.5,27
Documentary,"Blackpink: Light Up the Sky",7.5,27
Documentary,"City of Joy",7.5,27
Documentary,"Dick Johnson Is Dead",7.5,27
Documentary,"Homecoming: A Film by Beyonce",7.5,27
Documentary,"American Factory",7.4,34
Documentary,"Period. End of Sentence.",7.4,34
Documentary,Shirkers,7.4,34
Documentary,"The Black Godfather",7.4,34
Documentary,"The Speed Cubers",7.4,34
Documentary,"They'll Love Me When I'm Dead",7.4,34
Documentary,"Long Shot",7.4,34
Documentary,Tig,7.4,34
Documentary,"Miss Americana",7.4,34
Documentary,"Fire in Paradise",7.4,34
Documentary,"Sky Ladder: The Art of Cai Guo-Qiang",7.3,44
Documentary,"Team Foxcatcher",7.3,44
Documentary,"The Death and Life of Marsha P. Johnson",7.3,44
Documentary,"The Other One: The Long Strange Trip of Bob Weir",7.3,44
Documentary,"Secrets of the Saqqara Tomb",7.3,44
Documentary,"ReMastered: Massacre at the Stadium",7.3,44
Documentary,Extremis,7.3,44
Documentary,"Father Soldier Son",7.3,44
Documentary,"Get Me Roger Stone",7.3,44
Documentary,"Mucho Mucho Amor: The Legend of Walter Mercado",7.3,44
Documentary,"ReMastered: The Two Killings of Sam Cooke",7.3,44
Documentary,"The Edge of Democracy",7.2,55
Documentary,"LA Originals",7.2,55
Documentary,"Ladies First",7.2,55
Documentary,Zion,7.2,55
Documentary,"American Murder: The Family Next Door",7.2,55
Documentary,"Into the Inferno",7.2,55
Documentary,"Fyre: The Greatest Party That Never Happened",7.2,55
Documentary,"Audrie & Daisy",7.2,55
Documentary,"End Game",7.1,63
Documentary,Evelyn,7.1,63
Documentary,"Grass Is Greener",7.1,63
Documentary,"Guillermo Vilas: Settling the Score",7.1,63
Documentary,"Joshua: Teenager vs. Superpower",7.1,63
Documentary,"Keith Richards: Under the Influence",7.1,63
Documentary,"Knock Down the House",7.1,63
Documentary,"My Beautiful Broken Brain",7.1,63
Documentary,"One of Us",7.1,63
Documentary,"Ram Dass, Going Home",7.1,63
Documentary,"ReMastered: Tricky Dick & the Man in Black",7.1,63
Documentary,"Rooting for Roona",7.1,63
Documentary,"The Great Hack",7.1,63
Documentary,"Circus of Books",7.1,63
Documentary,"Dance Dreams: Hot Chocolate Nutcracker",7.1,63
Documentary,"El Pepe: A Supreme Life",7.1,63
Documentary,Resurface,7.0,79
Documentary,"Feminists: What Were They Thinking?",7.0,79
Documentary,"Operation Varsity Blues: The College Admissions Scandal",7.0,79
Documentary,"ReMastered: The Miami Showband Massacre",7.0,79
Documentary,"ReMastered: The Lion's Share",7.0,79
Documentary,Pele,7.0,79
Documentary,"Los Tigres del Norte at Folsom Prison",7.0,79
Documentary,"Lorena, Light-Footed Woman",7.0,79
Documentary,"Gaga: Five Foot Two",7.0,79
Documentary,"Kingdom of Us",7.0,79
Documentary,"ReMastered: Devil at the Crossroads",7.0,79
Documentary,Laerte-se,6.9,90
Documentary,"Biggie: I Got a Story to Tell",6.9,90
Documentary,"Bigflo & Oli: Hip Hop Frenzy",6.9,90
Documentary,"Amanda Knox",6.9,90
Documentary,"The Claudia Kishi Club",6.9,90
Documentary,"Spelling the Dream",6.9,90
Documentary,"Seeing Allred",6.9,90
Documentary,"ReMastered: Who Shot the Sheriff?",6.9,90
Documentary,"Saving Capitalism",6.8,98
Documentary,"All in My Family",6.8,98
Documentary,"Mercury 13",6.8,98
Documentary,"A Love Song for Latasha",6.8,98
Documentary,"A Life of Speed: The Juan Manuel Fangio Story",6.8,98
Documentary,Heroin(e),6.8,98
Documentary,"Have a Good Trip: Adventures in Psychedelics",6.8,98
Documentary,"GIMS: On the Record",6.8,98
Documentary,"Tony Parker: The Final Shot",6.8,98
Documentary,"The Trader",6.8,98
Documentary,Becoming,6.8,98
Documentary,"Hope Frozen: A Quest to Live Twice",6.7,109
Documentary,"Giving Voice",6.7,109
Documentary,"Crack: Cocaine, Corruption & Conspiracy",6.7,109
Documentary,CounterPunch,6.7,109
Documentary,"Bikram: Yogi, Guru, Predator",6.7,109
Documentary,"Tony Robbins: I Am Not Your Guru",6.7,109
Documentary,"Parchis: The Documentary",6.7,109
Documentary,"Little Miss Sumo",6.7,109
Documentary,"What Would Sophia Loren Do?",6.6,117
Documentary,"The American Meme",6.6,117
Documentary,"Shawn Mendes: In Wonder",6.6,117
Documentary,"ReMastered: Who Killed Jam Master Jay?",6.6,117
Documentary,"Recovery Boys",6.6,117
Documentary,"It Takes a Lunatic",6.6,117
Documentary,"I'll Sleep When I'm Dead",6.6,117
Documentary,"A 3 Minute Hug",6.5,124
Documentary,"Antoine Griezmann: The Making of a Legend",6.5,124
Documentary,"Chadwick Boseman: Portrait of an Artist",6.5,124
Documentary,"Nobody Speak: Trials of the Free Press",6.5,124
Documentary,"Life Overtakes Me",6.5,124
Documentary,"Dolly Parton: A MusiCares Tribute",6.5,124
Documentary,Birders,6.4,130
Documentary,"John Was Trying to Contact Aliens",6.4,130
Documentary,"Murder to Mercy: The Cyntoia Brown Story",6.4,130
Documentary,"My Own Man",6.4,130
Documentary,"Strong Island",6.4,130
Documentary,"Take Your Pills",6.4,130
Documentary,"The Mars Generation",6.4,130
Documentary,"Two Catalonias",6.4,130
Documentary,"Anelka: Misunderstood",6.4,130
Documentary,"Nail Bomber: Manhunt",6.3,139
Documentary,"A Tale of Two Kitchens",6.3,139
Documentary,"The Legend of Cocaine Island",6.3,139
Documentary,"Travis Scott: Look Mom I Can Fly",6.3,139
Documentary,"The Rachel Divide",6.2,143
Documentary,Voyuer,6.2,143
Documentary,"Casting JonBenet",6.1,145
Documentary,"Hot Girls Wanted",6.1,145
Documentary,"Notes from Dunblane: Lesson from a School Shooting",5.9,147
Documentary,"The Minimalists: Less Is Now",5.9,147
